SID | Code | Name
 252 | AIMCA    | Anjuman Institute of Management and Computer Appli
 251 | AJITM    | Anjuman Institute of Technology and Management
 253 | ACEBED   | ANJUMAN COLLEGE OF EDUCATION
 208 | RPSCJB   | RATHINAM INTERNATIONAL PUBLIC SCHOOL
 242 | DPPS     | Delhi Police Public School
 240 | SPRSH    | Sparsh Academy
 224 | SVKPLY   | The Sivakasi Lions Playschool, Sivakasi
 250 | CCIS     | COSMOS CASTLE INTERNATIONAL SCHOOL GREEN CAMPUS
 257 | AJASCC   | ANJUMAN ARTS, SCIENCE AND COMMERCE COLLEGE
 254 | AJCW     | ANJUMAN COLLEGE FOR WOMEN
 255 | AJPUCB   | ANJUMAN PRE-UNIVERSITY COLLEGE FOR BOYS
